,candidate,pact,party,district,votes,percentage
292, FRANCISCO VLADIMIR FLORES COBO,PTR,PTR,8,11636,0.015172021727962365
293, CRISTIAN CONTRERAS RADOVIC,PDG,PDG,8,52565,0.06853878670766085
294, LEYLA MASSIEL JARA LOPEZ,PDG,PDG,8,11111,0.014487481387022159
295, RICHARD MATTA PARRA,PDG,PDG,8,10744,0.014008955091545861
296, LUCY MUÑOZ MARTICORENA,PDG,PDG,8,8870,0.01156547204598025
297, SANDRA LUZ VERGARA CASTRO,PDG,PDG,8,7381,0.009623985250437454
298, FELIX ENRIQUE MOLINA RIQUELME,PDG,PDG,8,5260,0.00685844227303902
299, JACQUELINE PATRICIA ALARCON BORQUEZ,PDG,PDG,8,5806,0.007570364227616835
300, ANDRES HENRIQUEZ RIQUELME,PDG,PDG,8,6139,0.00800455838672748
301, JORGE GALDAMES HOROSTICA,CHILEVAMOS,DEMOCRATAS,8,7915,0.010320260568650921
302, GONZALO EGAS POURAILLY,CHILEVAMOS,DEMOCRATAS,8,10687,0.01393463356881521
303, ELIZABETH CARRASCO URRUTIA,CHILEVAMOS,DEMOCRATAS,8,5273,0.0068753927957670635
304, ROSA OYARCE SUAZO,CHILEVAMOS,RN,8,28933,0.037725344160805696
305, CESAR VEGA LAZO,CHILEVAMOS,RN,8,11721,0.015282852068876493
306, NATALY ORTUZAR MENDEZ,CHILEVAMOS,RN,8,5366,0.006996654227590757
307, SEBASTIAN KEITEL RONDON,CHILEVAMOS,UDI,8,23079,0.030092393387731474
308, BEATRIZ LAGOS CAMPOS,CHILEVAMOS,UDI,8,4515,0.005887046932085775
309, MARIO OLAVARRIA RODRIGUEZ,CHILEVAMOS,UDI,8,23873,0.031127679160505805
310, AGUSTIN ROMERO LEIVA,REP/PNL/PSC,REPUBLICAN,8,53491,0.06974618548044301
311, ENRIQUE BASSALETTI RIESS,REP/PNL/PSC,REPUBLICAN,8,47372,0.06176770482098944
312, CATHERINE CEBULJ NAVARRETE,REP/PNL/PSC,REPUBLICAN,8,23885,0.031143325796870153
313, ENRIQUE MUÑOZ LAGOS,REP/PNL/PSC,PSC,8,6883,0.00897464984131703
314, FELIPE CORVALAN DESTEFANI,REP/PNL/PSC,PSC,8,6226,0.008117996500369
315, ITALO OMEGNA VERGARA,REP/PNL/PSC,PNL,8,15726,0.020504916955477497
316, ANITA ESCOBAR GATTAS,REP/PNL/PSC,PNL,8,6523,0.008505250750386602
317, JUAN CARLOS GOMEZ ESCOBAR,REP/PNL/PSC,PNL,8,9142,0.01192012913690546
318, PIER KARLEZI HAZLEBY,REP/PNL/PSC,PNL,8,22867,0.029815969478628
319, ALEJANDRA PEREZ ESPINA,FREVS/AH,AH,9,5307,0.010395181430879976
320, ARIEL MATELUNA MATELUNA,FREVS/AH,AH,9,6389,0.01251456833651633
321, WALESKA UBIERNA NAVARRO,FREVS/AH,AH,9,2134,0.004180010773223643
322, JOSE LUIS VILLAGRAN BARAHONA,FREVS/AH,AH,9,2481,0.004859703246657852
323, PAOLA CADIZ NUÑEZ,FREVS/AH,FREVS,9,2150,0.004211351060183144
324, EVELYN FARIAS AILIO,FREVS/AH,FREVS,9,2503,0.004902796141227168
325, JOSE SEPULVEDA ZELADA,FREVS/AH,FREVS,9,2442,0.004783311297194065
326, ANDRES GIORDANO SALAZAR,UNIDAD,FA,9,21188,0.041502375006121146
327, LEONARDO JOFRE RIOS,UNIDAD,FA,9,15009,0.029399147935948288
328, BORIS BARRERA MORENO,UNIDAD,PCCH,9,38547,0.07550462758924636
329, CAROLA RIVERO CANALES,UNIDAD,PS,9,20555,0.040262474903285835
330, CESAR VALENZUELA MAASS,UNIDAD,PS,9,23652,0.04632877919788453
331, SANDRA GONZALEZ ZAMORANO,UNIDAD,PPD,9,7146,0.013997355663287792
332, CARLOS CUADRADO PRATS,UNIDAD,PPD,9,45282,0.08869692963126194
333, AMELIA DEL CARMEN GALLEGOS RAMIREZ,PH/PI,PH,9,7858,0.015391998432985651
334, VIVIANA MONTECINOS SUAZO,PH/PI,PH,9,6831,0.013380343763772586
335, ADRIAN ANTONIO LIZAMA BARRA,PH/PI,PH,9,2764,0.005414034572254052
336, JUAN ANDRES PINO MADRID,PH/PI,PH,9,4053,0.00793888644042897
337, SERGIO ENRIQUE FLORES RAMIREZ,PH/PI,PH,9,3215,0.006297438910925028
338, ESTER BARRIENTOS VARGAS,PH/PI,PH,9,2595,0.005083002791244308
339, LUIS ALBERTO DONOSO URIBE,PH/PI,PH,9,2362,0.004626609862396553
340, MANUEL ENRIQUE MUÑOZ PALACIOS,PAVP,PAVP,9,2921,0.00572156113804417
341, XUXA ALVAREZ FERNANDEZ,PAVP,PAVP,9,3675,0.007198472161010724
342, JOSE GUILLERMO ROJAS INOSTROZA,PAVP,PAVP,9,1752,0.0034317614220655207
343, ISABEL PALMA PALMA,PAVP,PAVP,9,2039,0.0039939278194015965
344, MARIA ELENA VALENZUELA PINO,PAVP,PAVP,9,2214,0.0043367122080211545
345, LORENZO LEPIN ARANEDA,PAVP,PAVP,9,1724,0.0033769159198863913
346, DANIEL EDUARDO CANTO GONZALEZ,PAVP,PAVP,9,569,0.0011145389549973067
347, ROBERTO LOBOS VILLASECA,PAVP,PAVP,9,585,0.0011458792419568092
348, TAMARA ALEJANDRA RAMIREZ RAMIREZ,PDG,PDG,9,23790,0.04659908917291024
349, ANDRES RIGOBERTO CACERES BRAVO,PDG,PDG,9,8252,0.0161637529993634
350, PAMELA DEL TRANSITO AMARO ARAYA,PDG,PDG,9,8951,0.017532931785906664
351, FRANCISCO JAVIER LIZANA DONOSO,PDG,PDG,9,10023,0.01963273101219333
352, CESAR ABRAHAM SUAY JEREZ,PDG,PDG,9,4125,0.008079917731746732
353, MARIA SOLEDAD LIEMPAN APELEO,PDG,PDG,9,4721,0.009247343420988199
354, CRESCENCIO ALBERTO LOPEZ PEREZ,PDG,PDG,9,2017,0.0039508349248322805
355, CHRISTOPHER ELIAS YAÑEZ LEAL,PDG,PDG,9,3900,0.007639194946378728
356, GUILLERMO RAMIREZ DIEZ,CHILEVAMOS,UDI,9,19093,0.0373987561823613
357, JOSE MIGUEL GONZALEZ ZAPATA,CHILEVAMOS,UDI,9,7067,0.013842612996425249
358, ERIKA OLIVERA DE LA FUENTE,CHILEVAMOS,DEMOCRATAS,9,11808,0.023129131776112824
359, VERONICA MONTECINOS ORTIZ,CHILEVAMOS,DEMOCRATAS,9,5026,0.009844767641153714
360, ALDO DUQUE SANTOS,CHILEVAMOS,RN,9,7250,0.014201067528524559
361, MARIA ELENA BARCO SANCHEZ,CHILEVAMOS,RN,9,5159,0.010105283776504579
362, FELIPE VIDAL CUEVAS,CHILEVAMOS,EVOPOLI,9,15773,0.03089564663826453
363, JUAN MANUEL SANTA CRUZ CAMPAÑA,CHILEVAMOS,EVOPOLI,9,5619,0.011006317026590275
364, JOSE CARLOS MEZA PEREIRA,REP/PNL/PSC,REPUBLICAN,9,33721,0.06605161353508643
365, MACARENA GARCIA-HUIDOBRO LLORT,REP/PNL/PSC,REPUBLICAN,9,20832,0.04080505362127222
366, JAVIERA RODRIGUEZ PASCUAL,REP/PNL/PSC,REPUBLICAN,9,25145,0.04925321972479311
367, MAXIMILIANO MURATH MANSILLA,REP/PNL/PSC,PNL,9,21736,0.04257577983448411
368, MARGARITA GARRIDO ACEVEDO,REP/PNL/PSC,PNL,9,14246,0.027904608001567015
369, VALESKA OYARCE PEÑA,REP/PNL/PSC,PSC,9,2854,0.005590323686401254
370, ALBERTO SEGUEL MENA,REP/PNL/PSC,PSC,9,3830,0.007502081190930905
371, CAROLINA GARATE VERGARA,REP/PNL/PSC,PSC,9,5645,0.011057244992899467
372, FRANCISCO ESTEVEZ VALENCIA,FREVS/AH,AH,10,3138,0.0048471180654777995
373, GLORIA CAROLINA PEREZ SEPULVEDA,FREVS/AH,AH,10,1834,0.002832891820295183
374, CLAUDIA RUIZ MONTECINO,FREVS/AH,AH,10,2449,0.003782852817831463
375, LUIS MARIANO RENDON ESCOBAR,FREVS/AH,AH,10,1774,0.0027402126985843264
376, CLAUDIA RUZ ROTHEN,FREVS/AH,FREVS,10,2374,0.0036670039156928924
377, ANTONIO ARRIAGADA JURE,FREVS/AH,FREVS,10,1507,0.0023277906069710144
378, JAVIERA GONZALEZ ARENAS,FREVS/AH,FREVS,10,1973,0.0030475984522586675
379, KATHERINE PEREZ CONTRERAS,FREVS/AH,FREVS,10,1248,0.001927725731585817
380, MARCIA SOTO DIAZ,FREVS/AH,FREVS,10,842,0.0013005970080090209
381, GONZALO WINTER ETCHEBERRY,UNIDAD,FA,10,94085,0.1453285861027657
382, EMILIA SCHNEIDER VIDELA,UNIDAD,FA,10,31212,0.0482116791139876
383, LORENA FRIES MONLEON,UNIDAD,FA,10,5707,0.008815329126730975
384, ALEJANDRA PLACENCIA CABELLO,UNIDAD,PCCH,10,17675,0.027301724603989837
385, IRACI HASSLER JACOB,UNIDAD,PCCH,10,46678,0.0721012673869894
386, FERNANDA VILLEGAS ACEVEDO,UNIDAD,PS,10,8962,0.013843171479544945
387, ANA MARIA HERNANDEZ SAN MARTIN,UNIDAD,PDC,10,5194,0.008022922636103151
388, HELIA MOLINA MILMAN,UNIDAD,PPD,10,27426,0.04236362653403255
389, JOSE TORO KEMP,UNIDAD,PPD,10,7987,0.012337135751743526
390, CELESTE JIMENEZ RIVEROS,PH/PI,PH,10,7074,0.01092686844970999
391, ALFREDO GROSSI ROBLES,PH/PI,PH,10,1514,0.0023386031711706144
392, DANIELA KING REYES,PH/PI,PH,10,3567,0.005509773785710424
393, GARY JAVIER NUÑEZ ORDOÑA,PH/PI,PH,10,1932,0.0029842677190895822
394, JORGE PALMA ACUÑA,PH/PI,PH,10,1815,0.0028035434317534116
395, MATIAS JORGE REYES VARGAS,PH/PI,PH,10,1633,0.0025224167625638133
396, CAROLINA VENEGAS RIVERA,PH/PI,PH,10,4312,0.00666053954695356
397, IBAR NICOLAS ZEPEDA ALCOTA,PH/PI,PH,10,1134,0.0017516354003351896
398, DAUNO TOTORO NAVARRO,PTR,PTR,10,6036,0.009323519644112172
399, JOSEFFE TAMARA CACERES TORRES,PTR,PTR,10,1306,0.002017315549239645
400, FABIAN ERNESTO PUELMA MULLER,PTR,PTR,10,2316,0.0035774140980390644
401, BARBARA BELEN BRITO CARRASCO,PTR,PTR,10,1881,0.0029054904656353538
402, YURI ERNESTO PEÑA JIMENEZ,PTR,PTR,10,1028,0.0015879022853126762
403, VALERIA PAZ YAÑEZ ALVAREZ,PTR,PTR,10,1347,0.0020806462824087303
404, JULIO HUMBERTO MANCILLA MARABOLI,PTR,PTR,10,617,0.0009530503015933086
405, CLAUDIA ANDREA TASSARA RUILOVA,PTR,PTR,10,723,0.0011167834166158218
406, YAMILA DE LOURDES MARTINEZ URRUTIA,PTR,PTR,10,430,0.0006642003722611389
407, NICOL AGUILERA ORTIZ,PAVP,PAVP,10,2905,0.004487214142833973
408, HECTOR SOTO GALLARDO,PAVP,PAVP,10,1743,0.002692328485700384
409, SOFIA MARIELA GONZALEZ PERALTA,PAVP,PAVP,10,1955,0.0030197947157454105
410, CATALINA MILITZA DURAN CHANAN,PAVP,PAVP,10,1952,0.003015160759659868
411, CESAR LORCA HIDALGO,PAVP,PAVP,10,1136,0.001754724704392218
412, NELLA REYES VALLEJOS,PAVP,PAVP,10,775,0.0011971053220985641
413, JESSICA SAINT-PIERRE COLLADO,PAVP,PAVP,10,722,0.0011152387645873077
414, BELEN JESUS CARVAJAL ZUÑIGA,PAVP,PAVP,10,699,0.0010797117679314792
415, ANDRES URZUA CORVALAN,PAVP,PAVP,10,514,0.0007939511426563381
416, KAREN OSORIO MUÑOZ,PDG,PDG,10,12316,0.01902393438318183
417, GIANNY CONTENLA OJEDA,PDG,PDG,10,3177,0.004907359494589856
418, ALEJANDRA JARA QUIROZ,PDG,PDG,10,4961,0.007663018713459325
419, ANDREA DEL PILAR HERRERA CACHAÑA,PDG,PDG,10,2896,0.0044733122745773445
420, BARBARA MOLINA SILVA,PDG,PDG,10,3677,0.005679685508846994
421, FRANCISCA ANDREA ACEVEDO LEON,PDG,PDG,10,3432,0.005301245761860997
422, BETZABE PATRICIA VIGORENA NUÑEZ,PDG,PDG,10,1036,0.0016002595015407904
423, JASMIN NICOLE OSORIO CESPED,PDG,PDG,10,1418,0.002190316576433244
424, FRANCISCO JAVIER PATIÑO TOBAR,PDG,PDG,10,5064,0.007822117872396296
425, JORGE ALESSANDRI VERGARA,CHILEVAMOS,UDI,10,56612,0.08744584063825021
426, MACARENA ZARHI CORDERO,CHILEVAMOS,UDI,10,4994,0.007713992230400296
427, MARIA JESUS SCHWERTER CABEZAS,CHILEVAMOS,UDI,10,4307,0.006652816286810989
428, JUAN PABLO SAEZ REY,CHILEVAMOS,DEMOCRATAS,10,4814,0.007435954865267727
429, VICENTE ALMONACID HEYL,CHILEVAMOS,DEMOCRATAS,10,2209,0.0034121363309880365
430, SANDRA SOLIMANO LATORRE,CHILEVAMOS,DEMOCRATAS,10,1985,0.003066134276600839
431, MARIA LUISA CORDERO VELASQUEZ,CHILEVAMOS,RN,10,14530,0.022443793974312436
432, JOHANNA OLIVARES GRIBBELL,CHILEVAMOS,RN,10,6010,0.009283358691370801
433, FRANCISCO ORREGO GUTIERREZ,CHILEVAMOS,RN,10,60336,0.09319812479243739
434, HANS MAROWSKI CUEVAS,REP/PNL/PSC,PNL,10,27976,0.0432131851497154
435, LETICIA ARAYA AHUMADA,REP/PNL/PSC,PNL,10,6396,0.009879594374377312
436, FRANCO FRIAS GUTIERREZ,REP/PNL/PSC,PNL,10,6237,0.009633994701843542
437, EVELYN HERNANDEZ FLORES,REP/PNL/PSC,PNL,10,7418,0.011458228747518904
438, JEAN BONVALLET SETTI,REP/PNL/PSC,PSC,10,4637,0.0071625514562207
439, GINO LORENZINI BARRIOS,REP/PNL/PSC,PSC,10,11740,0.018134214814757604
440, MATIAS BELLOLIO MERINO,REP/PNL/PSC,REPUBLICAN,10,16343,0.02524424810200882
441, ABIGAIL ABURTO CARDENAS,REP/PNL/PSC,REPUBLICAN,10,3003,0.004638590041628372
442, JOSE ANTONIO KAST ADRIASOLA,REP/PNL/PSC,REPUBLICAN,10,56740,0.08764355609790005
443, TOMAS HIRSCH GOLDSCHMIDT,FREVS/AH,AH,11,25474,0.047888319491076164
444, ELIZABETH CONTRERAS BECERRA,FREVS/AH,AH,11,1787,0.0033593635444199225
445, CATALINA VIDAL MENDEZ,FREVS/AH,AH,11,2714,0.005102021633774857
446, PEDRO  DAVIS URZUA,FREVS/AH,AH,11,1668,0.0031356566268004645
447, MYRIAM MEZA ANCATEN,FREVS/AH,AH,11,2237,0.004205314073232998
448, GERMAN ROJAS VOLMAR,FREVS/AH,FREVS,11,745,0.0014005180977016464
449, MELINA GIANELLI ALTAMIRANO,FREVS/AH,FREVS,11,957,0.0017990547912758062
450, RODRIGO ALFONSO RETTIG VARGAS,UNIDAD,PL,11,29182,0.0548589518484959
451, MARCELA HEVIA CUBILLOS,UNIDAD,PL,11,4084,0.007677471021494663
452, CONSTANZA SCHONHAUT SOTO,UNIDAD,FA,11,26198,0.0492493598974332
453, ISIDORA ALCALDE EGAÑA,UNIDAD,FA,11,20761,0.03902839761930722
454, CINDY SOLIS IBARRA,UNIDAD,PPD,11,2038,0.0038312159504912155
455, MARIA ESTER OLEA RODRIGUEZ,UNIDAD,PR,11,1670,0.003139416406928523
456, CECILIA CELIS AHUMADA,UNIDAD,PDC,11,4917,0.009243419444830866
457, NELSON NICOLAS PEÑA GALLARDO,PH/PI,PH,11,2761,0.005190376466784222
458, GUILLERMO GONZALEZ CASTRO,PH/PI,PH,11,2541,0.00477680065269783
459, MARIA ANGELICA ROMERO DONOSO,PH/PI,PH,11,3978,0.007478202674707583
460, ELIO ZARATE MORAGA,PH/PI,PH,11,1164,0.0021881920345298207
461, NICOLAS ANDRES ROMERO REEVES,PH/PI,PH,11,1866,0.0035078748594782176
462, NINOSKA HENRIQUEZ ARAYA,PH/PI,PH,11,2381,0.004476018242453182
463, ELIZABETH TUDELA CRUZ,PH/PI,PH,11,1973,0.0037090230963293266
464, IGOR CONTRERAS JERIA,PAVP,PAVP,11,1330,0.002500253785158644
465, PAULA HUECHAQUEO ROJAS,PAVP,PAVP,11,1758,0.00330484673256308
466, RICARDO ANDRES AVILES RUBILAR,PDG,PDG,11,8107,0.015240268749083553
467, CRISTOPHER ALEXEIS SUAREZ GONZALEZ,PDG,PDG,11,2875,0.005404683934083535
468, ELIZABETH FUENTES BRAVO,PDG,PDG,11,4674,0.008786606159271806
469, ERNESTO EXEQUIEL CORTEZ ULBRICH,PDG,PDG,11,2114,0.003974087595357423
470, MARCELA IVONNE CABALLERO REYES,PDG,PDG,11,2881,0.005415963274467709
471, MARICEL DONOSO ACEVEDO,PDG,PDG,11,1302,0.0024476168633658303
472, RICARDO ANDRES SILVA CALCAGNO,PDG,PDG,11,2279,0.004284269455922218
473, FRANCISCO UNDURRAGA GAZITUA,CHILEVAMOS,EVOPOLI,11,34368,0.06460806172055059
474, MACARENA CORNEJO FUENTES,CHILEVAMOS,EVOPOLI,11,6846,0.012869727378342915
475, DIEGO SCHALPER SEPULVEDA,CHILEVAMOS,RN,11,69695,0.13101893801250503
476, CLAUDIA MORA VEGA,CHILEVAMOS,RN,11,20429,0.03840427411804958
477, PERCY CARTER MORONG,CHILEVAMOS,DEMOCRATAS,11,1664,0.0031281370665443486
478, CARLOS WARD EDWARDS,CHILEVAMOS,UDI,11,12419,0.02334635470517684
479, CONSTANZA HUBE PORTUS,CHILEVAMOS,UDI,11,56372,0.10597316268944593
480, CRISTIAN ARAYA LERDO DE TEJADA,REP/PNL/PSC,REPUBLICAN,11,42670,0.08021490903211981
481, CATALINA DEL REAL MIHOVILOVIC,REP/PNL/PSC,REPUBLICAN,11,57363,0.10783613374289872
482, PEDRO LEA-PLAZA EDWARDS,REP/PNL/PSC,REPUBLICAN,11,11555,0.021722129689855738
483, MICHEL CARTES ZUÑIGA,REP/PNL/PSC,PSC,11,2889,0.005431002394979942
484, CRISTIAN DALY DAGORRET,REP/PNL/PSC,PNL,11,24827,0.04667203061964936
485, CARLOS ALARCON CASTRO,REP/PNL/PSC,PNL,11,12664,0.02380692777086396
486, MARIA CAROLINA COTAPOS MARDONES,REP/PNL/PSC,PNL,11,9769,0.018364646035499844
487, ANA MARIA GAZMURI VIEIRA,FREVS/AH,AH,12,57944,0.0936526202821345
488, MARGARITA PAZ ARAYA FLORES,FREVS/AH,AH,12,3211,0.0051898136774460495
489, GIOVANNA GRANDON CARO,FREVS/AH,AH,12,2607,0.0042135921074748835
490, FABRIZIO ALDAY VALDOVINOS,FREVS/AH,AH,12,30636,0.049515768241120264
491, HERNAN PALMA PEREZ,FREVS/AH,FREVS,12,4729,0.00764329768939345
492, GUSTAVO LORCA QUITRAL,FREVS/AH,FREVS,12,2128,0.0034394031471831807
493, RICARDO SANTANA PEREZ,FREVS/AH,FREVS,12,1579,0.0025520759254709785
494, DANIELA SERRANO SALAZAR,UNIDAD,PCCH,12,44742,0.07231474417822832
495, JUAN NAVARRO ROMERO,UNIDAD,PCCH,12,9905,0.01600906399100066
496, SIMON RAMIREZ GONZALEZ,UNIDAD,FA,12,20220,0.032680794941749955
497, MARCO VELARDE SALINAS,UNIDAD,FA,12,7359,0.011894063797049353
498, CLAUDIA HASBUN FAILA,UNIDAD,PS,12,15468,0.025000323252175487
499, LI FRIDMAN MOSES,UNIDAD,PS,12,7867,0.012715124322786693
500, DINKA TOMICIC BOBADILLA,UNIDAD,PDC,12,5902,0.009539171698625531
501, MONICA ARCE CASTRO,UNIDAD,PDC,12,4218,0.006817388381023804
502, NATALIA GARRIDO TORO,PH/PI,PH,12,9388,0.0151734571173664
503, RENE  VALLE TORO,PH/PI,PH,12,3637,0.005878340811233659
504, RAFAEL HARVEY VALDES,PH/PI,PH,12,2473,0.003997013149898499
505, RITA PINO MARDONES,PH/PI,PH,12,2848,0.004603110978936888
506, JUAN CARLOS ZURITA MEDINA,PH/PI,PH,12,2844,0.004596645935427145
507, PAULA  OCARES CERDA,PH/PI,PH,12,3301,0.005335277156415263
508, DOMINIQUE MUÑOZ VENEGAS,PH/PI,PH,12,2481,0.0040099432369179846
509, CATALINA VALESKA VALENZUELA MAUREIRA,PH/PI,PH,12,3769,0.0060916872470551725
510, PATRICIA DEL PILAR TOLEDO JEREZ,PAVP,PAVP,12,3297,0.00532881211290552
511, SEBASTIAN RODRIGUEZ CORTES,PAVP,PAVP,12,1618,0.002615110099690971
512, ANDRES TEODORO JARA PEREZ,PAVP,PAVP,12,1446,0.0023371132287720296
513, NICOLAS PATRICIO FARNET TOLEDO,PAVP,PAVP,12,1714,0.0027702711439247987
514, DARLYNG DAYANE FUENTES GOMEZ,PAVP,PAVP,12,790,0.0012768460931742072
515, VALENTINA IGNACIA CASTILLO REYES,PAVP,PAVP,12,1280,0.0020688139231177026
516, VANIA ANDREA NECULQUEO SAAVEDRA,PAVP,PAVP,12,1173,0.0018958740092320822
517, PAMELA JILES MORENO,PDG,PDG,12,94478,0.15270109517837055
518, PABLO MALTES BISKUPOVIC,PDG,PDG,12,4978,0.00804574664787494
519, ZANDRA PARISI FERNANDEZ,PDG,PDG,12,15249,0.024646362120017067
520, LUIS EDUARDO MOLINA CASTILLO,PDG,PDG,12,4128,0.006671924902054591
521, LEONARDO JAVIER MATURANA VERGARA,PDG,PDG,12,2812,0.004544925587349203
522, HERNAN JONATHAN ALVAREZ VARGAS,PDG,PDG,12,2095,0.0033860665382278022
523, JORGE MARCELO CHAVEZ AREVALO,PDG,PDG,12,2013,0.0032535331462780746
524, XIMENA OSSANDON IRARRAZABAL,CHILEVAMOS,RN,12,48711,0.07872968360077064
525, PAOLA ROMERO LLANOS,CHILEVAMOS,RN,12,5562,0.008989643000297393
526, HUGO ESTRELLA MUÑOZ,CHILEVAMOS,RN,12,3621,0.005852480637194689
527, PAZ ORTUZAR FUENZALIDA,CHILEVAMOS,UDI,12,3647,0.005894503420008017
528, CLAUDIA RASSO SOCIAS,CHILEVAMOS,UDI,12,4714,0.0076190537762319144
529, ANIBAL PINTO FERRADA,CHILEVAMOS,UDI,12,5178,0.00836899882336208
530, JOHANA CONCHA ORTIZ,CHILEVAMOS,DEMOCRATAS,12,2248,0.003633354452475465
531, JONATHAN BARRERA GUAJARDO,CHILEVAMOS,DEMOCRATAS,12,2283,0.003689923583185715
532, JUDITH MARIN MORALES,REP/PNL/PSC,PSC,12,15524,0.025090833861311886
533, ELEIN OSSANDON MANRIQUE,REP/PNL/PSC,PSC,12,8238,0.01331475710831534
534, KEVIN VALENZUELA ARROYO,REP/PNL/PSC,PSC,12,7582,0.012254489972717516
535, CAMILLE SIGL FUENTES,REP/PNL/PSC,PNL,12,13274,0.02145424688708155
536, MARIA ISABEL SAEZ VILA,REP/PNL/PSC,PNL,12,8824,0.014261885982492662
537, ANDRES ARCE BUSTOS,REP/PNL/PSC,PNL,12,10760,0.017390967041208186
538, MACARENA SANTELICES CAÑAS,REP/PNL/PSC,REPUBLICAN,12,23062,0.03727420835542223
539, ALVARO CARTER FERNANDEZ,REP/PNL/PSC,REPUBLICAN,12,69157,0.11177575350082106
540, JOSE SILVA DIAZ,FREVS/AH,FREVS,13,6025,0.016224629661046618
541, SEBASTIAN VEGA UMATINO,FREVS/AH,FREVS,13,6106,0.01644275331292127
542, ROXANA RIQUELME TABACH,FREVS/AH,FREVS,13,7923,0.02133572461485018
543, MATIAS FREIRE VALLEJOS,FREVS/AH,FREVS,13,10232,0.027553595135573275
544, PERCY CAMPOS CORONEL,FREVS/AH,AH,13,2722,0.007330031856824712
545, LORENA PIZARRO SIERRA,UNIDAD,PCCH,13,30352,0.08173443310740032
546, GAEL YEOMANS ARAYA,UNIDAD,FA,13,46598,0.12548303617351872
547, CRISTOBAL BARRA CATALAN,UNIDAD,PPD,13,9361,0.02520809265677301
548, RENATA VASQUEZ ALDUNCE,UNIDAD,PDC,13,6062,0.016324266390915283
549, ELIZABETH ZUÑIGA CRUZ,UNIDAD,PR,13,3291,0.008862283189129364
550, DANIEL MELO CONTRERAS,UNIDAD,PS,13,27854,0.07500760739896971
551, JORGE CRISTIAN MUÑOZ REYES,PH/PI,PH,13,6331,0.017048652345906412
552, FERNANDO ISRAEL VILCHES CESPEDES,PH/PI,PH,13,4396,0.011837920662234179
553, GAZZI ANDRES JACOB NUÑEZ,PH/PI,PH,13,2291,0.006169398598084282
554, MARISELA DEL PILAR PETERSEN BASAEZ,PH/PI,PH,13,6829,0.018389708872246863
555, JUAN FRANCISCO GAMBOA HIGUERA,PTR,PTR,13,5336,0.014369232177816556
556, MARIA ISABEL MARGARITA MARTINEZ LIZAMA,PTR,PTR,13,4116,0.011083912976741555
557, CAMILA PAZ BURGOS GONZALEZ,PTR,PTR,13,3299,0.008883826265857724
558, PAOLA JOYCE MARTINEZ SANDOVAL,PAVP,PAVP,13,4276,0.011514774511308768
559, PEDRO ALEJANDRO VALENZUELA YAÑEZ,PAVP,PAVP,13,1502,0.004044712655749712
560, CRISTIAN ARTURO SEGUEL OLIVOS,PDG,PDG,13,14324,0.03857287888212975
561, MARCELO ANDRES OLIVARES FIGUEROA,PDG,PDG,13,7047,0.01897675771309469
562, ALEXANDER RODOLFO ROJAS VILLARROEL,PDG,PDG,13,4943,0.013310928533535838
563, ERIKA MARIBEL LIZAMA FUENTES,PDG,PDG,13,7160,0.019281053671882785
564, NELSON DAVID ALVAREZ GALLEGUILLOS,PDG,PDG,13,1793,0.004828342071743832
565, NOEMI LAPOSTOL JARA,PDG,PDG,13,3499,0.00942240318406674
566, EDUARDO DURAN SALINAS,CHILEVAMOS,RN,13,17558,0.04728166764956954
567, SUSAN ATUAN SALCEDO,CHILEVAMOS,RN,13,4438,0.011951021815058072
568, MACARENA VENEGAS TASSARA,CHILEVAMOS,EVOPOLI,13,14986,0.040355568481401594
569, DANIEL CORONADO CORONADO,CHILEVAMOS,EVOPOLI,13,1640,0.0044163307293139335
570, CLAUDIA LANGE FARIAS,CHILEVAMOS,UDI,13,4485,0.012077587390837191
571, CRISTHIAN MOREIRA BARROS,CHILEVAMOS,UDI,13,4973,0.01339171507126719
572, FELIPE ROSS CORREA,REP/PNL/PSC,REPUBLICAN,13,36369,0.09793751969171857
573, VALENTINA BECERRA PEÑA,REP/PNL/PSC,REPUBLICAN,13,22199,0.05977934503660977
574, TARYN COOPMAN PALAVICINO,REP/PNL/PSC,PNL,13,12763,0.03436928603550837
575, OSCAR CALFILEO CASTRO,REP/PNL/PSC,PNL,13,9304,0.02505459823508344
576, CRISTIAN VIVIAN TRONCOSO,REP/PNL/PSC,PSC,13,5716,0.015392528322413687
577, DANIEL TAPIA MELLA,REP/PNL/PSC,PSC,13,3250,0.008751874920896515
578, PILAR FARFAN VILLAGRA,FREVS/AH,FREVS,14,3324,0.005767799230613063
579, EVELYN BASTIAS ARAYA,FREVS/AH,FREVS,14,2589,0.004492428462111077
580, DANIEL DOMINGUEZ GONZALEZ,FREVS/AH,FREVS,14,8732,0.015151751769468492
581, MARIA ELENA FLORES MARTINEZ,FREVS/AH,FREVS,14,2377,0.004124566417318667
582, BERNARDA LAGOS FARFAN,FREVS/AH,FREVS,14,1413,0.0024518352325078995
583, CARLOS MORALES FLORES,FREVS/AH,AH,14,1769,0.0030695658360272286
584, SARA PASCUAL RODRIGUEZ,FREVS/AH,AH,14,1615,0.002802345294055384
585, RAUL LEIVA CARVAJAL,UNIDAD,PS,14,41375,0.0717938306758771
586, ROBERTO SOTO FERRADA,UNIDAD,PS,14,12262,0.021277001854927008
587, MARISELA SANTIBAÑEZ NOVOA,UNIDAD,PCCH,14,46760,0.0811378736532692
